[GIN] 2026/06/02 - 14:10:51 | 200 |            0s |       127.0.0.1 | GET      "/ws"
[GIN] 2026/06/02 - 14:10:51 | 200 |       530.8µs |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 14:10:51 | 200 |      7.2746ms |       127.0.0.1 | GET      "/api/batches"
[GIN] 2026/06/02 - 14:10:51 | 200 |    337.1966ms |       127.0.0.1 | GET      "/api/production-lines"
[GIN] 2026/06/02 - 14:10:51 | 200 |            0s |       127.0.0.1 | GET      "/ws"
[GIN] 2026/06/02 - 14:10:54 | 200 |     33.1236ms |       127.0.0.1 | POST     "/api/production-lines/line-14/assign"
[GIN] 2026/06/02 - 14:10:54 | 200 |        8.49ms |       127.0.0.1 | GET      "/api/batches"
[GIN] 2026/06/02 - 14:10:54 | 200 |    359.1742ms |       127.0.0.1 | GET      "/api/production-lines"
[GIN] 2026/06/02 - 14:10:54 | 200 |    338.5574ms |       127.0.0.1 | GET      "/api/production-lines"
[GIN] 2026/06/02 - 14:10:54 | 200 |      14.809ms |       127.0.0.1 | GET      "/api/batches"
[GIN] 2026/06/02 - 14:10:55 | 200 |    339.6035ms |       127.0.0.1 | GET      "/api/production-lines"
[GIN] 2026/06/02 - 14:13:46 | 200 |       512.2µs |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 14:13:46 | 200 |      9.9667ms |       127.0.0.1 | GET      "/api/batches"
[GIN] 2026/06/02 - 14:13:47 | 200 |    350.5176ms |       127.0.0.1 | GET      "/api/production-lines"
[GIN] 2026/06/02 - 14:13:47 | 200 |            0s |       127.0.0.1 | GET      "/ws"
[GIN] 2026/06/02 - 14:24:42 | 200 |         525µs |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 14:24:42 | 200 |       519.1µs |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 14:24:42 | 200 |       517.7µs |       127.0.0.1 | GET      "/api/capacity-ratio"
[GIN] 2026/06/02 - 14:24:42 | 200 |     83.7372ms |       127.0.0.1 | POST     "/api/forecast/recompute"
[GIN] 2026/06/02 - 14:24:42 | 200 |      5.1847ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 14:24:45 | 200 |            0s |       127.0.0.1 | GET      "/ws"
[GIN] 2026/06/02 - 14:44:47 | 200 |       522.3µs |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 14:44:47 | 200 |       505.6µs |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 14:44:47 | 200 |       512.4µs |       127.0.0.1 | GET      "/api/capacity-ratio"
[GIN] 2026/06/02 - 14:44:47 | 200 |     77.9362ms |       127.0.0.1 | POST     "/api/forecast/recompute"
[GIN] 2026/06/02 - 14:44:47 | 200 |      4.7978ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 14:44:47 | 200 |      6.5832ms |       127.0.0.1 | GET      "/api/batches?status=Predicted%2CConfirmed"
[GIN] 2026/06/02 - 14:44:48 | 200 |            0s |       127.0.0.1 | GET      "/ws"
[GIN] 2026/06/02 - 14:44:49 | 200 |       530.6µs |       127.0.0.1 | GET      "/api/model-types"
[GIN] 2026/06/02 - 14:44:49 | 200 |      8.0317ms |       127.0.0.1 | GET      "/api/batches"
[GIN] 2026/06/02 - 14:44:49 | 200 |    408.8455ms |       127.0.0.1 | GET      "/api/production-lines"
[GIN] 2026/06/02 - 14:44:49 | 200 |            0s |       127.0.0.1 | GET      "/ws"
[GIN] 2026/06/02 - 14:45:01 | 200 |      8.8014ms |       127.0.0.1 | GET      "/api/batches"
[GIN] 2026/06/02 - 14:45:01 | 200 |    365.7017ms |       127.0.0.1 | GET      "/api/production-lines"
